Driver,Team,Q1,Q2,Q3,QualiTime,AirTemp,TrackTemp,Humidity,Rainfall,FP1_Time,FP2_Time,FP3_Time,Year,Circuit
VER,Red Bull Racing,91.295,90.503,89.708,89.708,23.879999999999995,28.085263157894722,21.652631578947368,0.0,93.375,91.076,92.345,2023,Bahrain Grand Prix
PER,Red Bull Racing,91.479,90.746,89.846,89.846,23.879999999999995,28.085263157894722,21.652631578947368,0.0,92.758,91.078,92.446,2023,Bahrain Grand Prix
LEC,Ferrari,91.094,90.282,90.0,90.0,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.257,91.367,92.624,2023,Bahrain Grand Prix
SAI,Ferrari,90.993,90.515,90.154,90.154,23.879999999999995,28.085263157894722,21.652631578947368,0.0,96.072,91.956,92.945,2023,Bahrain Grand Prix
ALO,Aston Martin,91.158,90.645,90.336,90.336,23.879999999999995,28.085263157894722,21.652631578947368,0.0,93.196,90.907,92.34,2023,Bahrain Grand Prix
RUS,Mercedes,91.057,90.507,90.34,90.34,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.966,91.882,92.731,2023,Bahrain Grand Prix
HAM,Mercedes,91.543,90.513,90.384,90.384,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.917,91.543,92.555,2023,Bahrain Grand Prix
STR,Aston Martin,91.184,91.127,90.836,90.836,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.298,91.45,92.919,2023,Bahrain Grand Prix
OCO,Alpine,91.508,90.914,90.984,90.914,23.879999999999995,28.085263157894722,21.652631578947368,0.0,95.105,91.608,93.116,2023,Bahrain Grand Prix
HUL,Haas F1 Team,91.204,90.809,,90.809,23.879999999999995,28.085263157894722,21.652631578947368,0.0,95.043,91.376,93.423,2023,Bahrain Grand Prix
NOR,McLaren,91.652,91.381,,91.381,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.165,91.57,93.202,2023,Bahrain Grand Prix
BOT,Alfa Romeo,91.504,91.443,,91.443,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.689,91.793,93.629,2023,Bahrain Grand Prix
ZHO,Alfa Romeo,91.615,91.473,,91.473,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.575,91.586,93.18,2023,Bahrain Grand Prix
TSU,AlphaTauri,91.4,92.51,,91.4,23.879999999999995,28.085263157894722,21.652631578947368,0.0,95.015,92.525,93.475,2023,Bahrain Grand Prix
ALB,Williams,91.461,,,91.461,23.879999999999995,28.085263157894722,21.652631578947368,0.0,96.018,92.44,93.882,2023,Bahrain Grand Prix
SAR,Williams,91.652,,,91.652,23.879999999999995,28.085263157894722,21.652631578947368,0.0,95.749,92.749,93.665,2023,Bahrain Grand Prix
MAG,Haas F1 Team,91.892,,,91.892,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.402,92.11,93.381,2023,Bahrain Grand Prix
PIA,McLaren,92.101,,,92.101,23.879999999999995,28.085263157894722,21.652631578947368,0.0,94.997,92.024,93.045,2023,Bahrain Grand Prix
DEV,AlphaTauri,92.121,,,92.121,23.879999999999995,28.085263157894722,21.652631578947368,0.0,95.402,92.605,94.082,2023,Bahrain Grand Prix
GAS,Alpine,92.181,,,92.181,23.879999999999995,28.085263157894722,21.652631578947368,0.0,95.455,91.475,93.064,2023,Bahrain Grand Prix
PER,Red Bull Racing,89.244,88.635,88.265,88.265,27.02375,31.666249999999998,44.7375,0.0,90.1,89.902,89.098,2023,Saudi Arabian Grand Prix
LEC,Ferrari,89.376,88.903,88.42,88.42,27.02375,31.666249999999998,44.7375,0.0,91.118,90.341,89.588,2023,Saudi Arabian Grand Prix
ALO,Aston Martin,89.298,88.757,88.73,88.73,27.02375,31.666249999999998,44.7375,0.0,90.315,89.811,89.483,2023,Saudi Arabian Grand Prix
RUS,Mercedes,89.592,89.132,88.857,88.857,27.02375,31.666249999999998,44.7375,0.0,90.771,90.07,89.811,2023,Saudi Arabian Grand Prix
SAI,Ferrari,89.411,88.957,88.931,88.931,27.02375,31.666249999999998,44.7375,0.0,90.924,90.592,89.761,2023,Saudi Arabian Grand Prix
STR,Aston Martin,89.335,88.962,88.945,88.945,27.02375,31.666249999999998,44.7375,0.0,90.577,90.11,89.509,2023,Saudi Arabian Grand Prix
OCO,Alpine,89.707,89.255,89.078,89.078,27.02375,31.666249999999998,44.7375,0.0,91.181,90.039,89.953,2023,Saudi Arabian Grand Prix
HAM,Mercedes,89.689,89.374,89.223,89.223,27.02375,31.666249999999998,44.7375,0.0,90.787,90.599,89.568,2023,Saudi Arabian Grand Prix
PIA,McLaren,89.706,89.378,89.243,89.243,27.02375,31.666249999999998,44.7375,0.0,91.491,90.964,89.698,2023,Saudi Arabian Grand Prix
GAS,Alpine,89.89,89.411,89.357,89.357,27.02375,31.666249999999998,44.7375,0.0,90.949,90.1,89.701,2023,Saudi Arabian Grand Prix
HUL,Haas F1 Team,89.547,89.451,,89.451,27.02375,31.666249999999998,44.7375,0.0,91.552,90.181,89.933,2023,Saudi Arabian Grand Prix
ZHO,Alfa Romeo,89.654,89.461,,89.461,27.02375,31.666249999999998,44.7375,0.0,91.986,90.837,89.917,2023,Saudi Arabian Grand Prix
MAG,Haas F1 Team,89.744,89.634,,89.634,27.02375,31.666249999999998,44.7375,0.0,91.566,90.82,90.131,2023,Saudi Arabian Grand Prix
BOT,Alfa Romeo,89.929,89.668,,89.668,27.02375,31.666249999999998,44.7375,0.0,91.97,91.052,90.317,2023,Saudi Arabian Grand Prix
VER,Red Bull Racing,88.761,109.953,,88.761,27.02375,31.666249999999998,44.7375,0.0,89.617,89.603,88.485,2023,Saudi Arabian Grand Prix
TSU,AlphaTauri,89.939,,,89.939,27.02375,31.666249999999998,44.7375,0.0,91.11,90.776,90.797,2023,Saudi Arabian Grand Prix
ALB,Williams,89.994,,,89.994,27.02375,31.666249999999998,44.7375,0.0,91.03,90.81,89.983,2023,Saudi Arabian Grand Prix
DEV,AlphaTauri,90.244,,,90.244,27.02375,31.666249999999998,44.7375,0.0,91.45,90.921,,2023,Saudi Arabian Grand Prix
NOR,McLaren,90.447,,,90.447,27.02375,31.666249999999998,44.7375,0.0,92.149,90.721,89.69,2023,Saudi Arabian Grand Prix
SAR,Williams,128.51,,,128.51,27.02375,31.666249999999998,44.7375,0.0,91.922,90.959,90.035,2023,Saudi Arabian Grand Prix
VER,Red Bull Racing,77.384,77.056,76.732,76.732,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,78.79,79.502,77.565,2023,Australian Grand Prix
RUS,Mercedes,77.654,77.513,76.968,76.968,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.699,79.672,77.955,2023,Australian Grand Prix
HAM,Mercedes,77.689,77.551,77.104,77.104,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.223,80.323,78.138,2023,Australian Grand Prix
ALO,Aston Martin,77.832,77.283,77.139,77.139,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.317,78.887,77.727,2023,Australian Grand Prix
SAI,Ferrari,77.928,77.349,77.27,77.27,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.505,79.695,78.127,2023,Australian Grand Prix
STR,Aston Martin,77.873,77.616,77.308,77.308,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.766,80.579,78.198,2023,Australian Grand Prix
LEC,Ferrari,78.218,77.39,77.369,77.369,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.378,79.332,78.691,2023,Australian Grand Prix
ALB,Williams,77.962,77.761,77.609,77.609,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.766,81.182,78.553,2023,Australian Grand Prix
GAS,Alpine,78.312,77.574,77.675,77.574,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.646,80.206,78.094,2023,Australian Grand Prix
HUL,Haas F1 Team,78.029,77.412,77.735,77.412,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.806,80.194,78.41,2023,Australian Grand Prix
OCO,Alpine,77.77,77.768,,77.768,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,80.175,79.725,77.938,2023,Australian Grand Prix
TSU,AlphaTauri,78.471,78.099,,78.099,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,80.399,80.22,78.901,2023,Australian Grand Prix
NOR,McLaren,78.243,78.119,,78.119,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.536,80.176,79.146,2023,Australian Grand Prix
MAG,Haas F1 Team,78.159,78.129,,78.129,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,81.147,81.266,79.056,2023,Australian Grand Prix
DEV,AlphaTauri,78.45,78.335,,78.335,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.933,80.6,79.092,2023,Australian Grand Prix
PIA,McLaren,78.517,,,78.517,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.777,80.38,78.713,2023,Australian Grand Prix
ZHO,Alfa Romeo,78.54,,,78.54,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,80.569,80.47,78.33,2023,Australian Grand Prix
SAR,Williams,78.557,,,78.557,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,80.074,,78.947,2023,Australian Grand Prix
BOT,Alfa Romeo,78.714,,,78.714,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,80.419,80.312,78.809,2023,Australian Grand Prix
PER,Red Bull Racing,,,,,15.20421052631579,22.71263157894737,53.4,0.042105263157894736,79.293,80.083,78.123,2023,Australian Grand Prix
LEC,Ferrari,101.269,101.037,100.203,100.203,19.461320754716983,33.08584905660377,80.62264150943396,0.0,102.352,,,2023,Azerbaijan Grand Prix
VER,Red Bull Racing,101.398,100.822,100.391,100.391,19.461320754716983,33.08584905660377,80.62264150943396,0.0,102.315,,,2023,Azerbaijan Grand Prix
PER,Red Bull Racing,101.756,101.131,100.495,100.495,19.461320754716983,33.08584905660377,80.62264150943396,0.0,102.454,,,2023,Azerbaijan Grand Prix
SAI,Ferrari,102.197,101.369,101.016,101.016,19.461320754716983,33.08584905660377,80.62264150943396,0.0,102.899,,,2023,Azerbaijan Grand Prix
HAM,Mercedes,102.113,101.65,101.177,101.177,19.461320754716983,33.08584905660377,80.62264150943396,0.0,103.798,,,2023,Azerbaijan Grand Prix
ALO,Aston Martin,101.72,101.37,101.253,101.253,19.461320754716983,33.08584905660377,80.62264150943396,0.0,103.56,,,2023,Azerbaijan Grand Prix
NOR,McLaren,102.154,101.485,101.281,101.281,19.461320754716983,33.08584905660377,80.62264150943396,0.0,103.125,,,2023,Azerbaijan Grand Prix
TSU,AlphaTauri,102.234,101.569,101.581,101.569,19.461320754716983,33.08584905660377,80.62264150943396,0.0,104.137,,,2023,Azerbaijan Grand Prix
STR,Aston Martin,102.524,101.576,101.611,101.576,19.461320754716983,33.08584905660377,80.62264150943396,0.0,103.455,,,2023,Azerbaijan Grand Prix
PIA,McLaren,102.455,101.636,101.611,101.611,19.461320754716983,33.08584905660377,80.62264150943396,0.0,103.98,,,2023,Azerbaijan Grand Prix
RUS,Mercedes,102.073,101.654,,101.654,19.461320754716983,33.08584905660377,80.62264150943396,0.0,105.082,,,2023,Azerbaijan Grand Prix
OCO,Alpine,102.622,101.798,,101.798,19.461320754716983,33.08584905660377,80.62264150943396,0.0,105.955,,,2023,Azerbaijan Grand Prix
ALB,Williams,102.171,101.818,,101.818,19.461320754716983,33.08584905660377,80.62264150943396,0.0,103.628,,,2023,Azerbaijan Grand Prix
BOT,Alfa Romeo,102.582,102.259,,102.259,19.461320754716983,33.08584905660377,80.62264150943396,0.0,104.01,,,2023,Azerbaijan Grand Prix
SAR,Williams,102.242,102.395,,102.242,19.461320754716983,33.08584905660377,80.62264150943396,0.0,104.9,,,2023,Azerbaijan Grand Prix
ZHO,Alfa Romeo,102.642,,,102.642,19.461320754716983,33.08584905660377,80.62264150943396,0.0,103.748,,,2023,Azerbaijan Grand Prix
HUL,Haas F1 Team,102.755,,,102.755,19.461320754716983,33.08584905660377,80.62264150943396,0.0,104.323,,,2023,Azerbaijan Grand Prix
MAG,Haas F1 Team,103.417,,,103.417,19.461320754716983,33.08584905660377,80.62264150943396,0.0,107.498,,,2023,Azerbaijan Grand Prix
GAS,Alpine,104.853,,,104.853,19.461320754716983,33.08584905660377,80.62264150943396,0.0,106.321,,,2023,Azerbaijan Grand Prix
DEV,AlphaTauri,115.282,,,115.282,19.461320754716983,33.08584905660377,80.62264150943396,0.0,103.414,,,2023,Azerbaijan Grand Prix
PER,Red Bull Racing,87.713,87.328,86.841,86.841,28.64482758620689,43.26666666666666,59.206896551724135,0.0,91.566,88.419,88.05,2023,Miami Grand Prix
ALO,Aston Martin,88.179,87.097,87.202,87.097,28.64482758620689,43.26666666666666,59.206896551724135,0.0,91.231,88.66,88.618,2023,Miami Grand Prix
